query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
290,84604.249,5.588,1256.681,20.371,13.618,156.496,6.234,1229.237,16.482
291,84592.522,5.579,1256.681,23.628,12.073,154.792,6.226,1229.237,31.242
292,84580.57,5.574,1256.682,23.668,12.217,154.612,6.222,1229.237,31.27
293,84568.503,5.571,1256.681,23.706,13.733,153.06,6.221,1229.236,31.294
294,85842.365,1.729,1263.513,19.217,14.265,134.849,6.148,1226.687,12.721
295,85830.492,1.719,1263.513,22.333,12.641,133.366,6.141,1226.685,22.317
296,85818.375,1.714,1263.514,22.372,13.814,132.156,6.138,1226.685,22.35
297,85806.628,1.709,1263.514,22.409,14.141,131.794,6.137,1226.684,22.377
298,87080.85,1.798,1241.997,21.72,14.346,121.263,5.623,1219.212,16.196
299,87070.356,1.79,1241.997,24.802,11.653,120.885,5.612,1219.211,25.711
30,3918.014,1.805,1283.485,24.524,13.511,1211.558,12.103,1239.909,20.237
300,87058.358,1.786,1241.997,24.843,14.79,117.712,5.607,1219.211,25.75
301,87046.466,1.781,1241.997,24.883,15.112,117.354,5.604,1219.211,25.782
302,88302.899,1.725,1269.864,22.003,13.32,76.129,5.551,1223.288,13.495
303,88291.212,1.717,1269.864,25.106,11.786,74.571,5.54,1223.287,16.634
304,88279.374,1.713,1269.864,25.149,12.11,74.208,5.536,1223.287,16.67
305,88267.661,1.71,1269.864,25.19,13.762,72.518,5.533,1223.287,16.702
306,89552.103,1.443,1289.828,22.737,14.07,3.751,2.781,1221.097,3.025
307,89540.023,1.433,1289.831,25.793,25.267,1225.08,4.145,1223.801,11.575
308,89528.338,1.429,1289.83,25.84,25.369,1224.946,4.134,1223.801,30.307
309,89516.527,1.425,1289.831,25.876,25.417,1224.867,4.129,1223.801,30.336
31,3906.701,1.796,1283.486,27.693,12.137,1209.77,12.098,1239.907,35.711
310,90821.224,1.807,1280.525,21.819,13.111,1191.35,5.565,1225.224,13.997
311,90809.383,1.786,1280.525,24.889,11.537,1189.864,5.556,1225.224,30.648
312,90797.391,1.782,1280.525,24.931,11.855,1189.507,5.553,1225.224,30.682
313,90785.601,1.779,1280.525,24.966,13.573,1187.756,5.551,1225.224,30.713
314,92080.882,1.686,1276.35,18.879,12.045,1153.841,10.847,1208.116,14.588
315,92068.881,1.678,1276.35,21.066,11.402,1152.307,10.837,1208.116,18.105
316,92057.067,1.674,1276.35,21.107,13.011,1150.661,10.834,1208.115,18.144
317,92045.258,1.671,1276.35,21.144,13.332,1150.307,10.831,1208.114,18.175
318,93332.265,1.364,1233.509,10.706,7.861,1147.304,3.142,1210.948,5.396
319,93320.353,1.355,1233.509,10.884,7.881,1147.116,3.132,1210.949,5.594
32,3894.572,1.791,1283.486,27.731,12.285,1209.587,12.097,1239.905,35.748
33,3882.97,1.788,1283.486,27.765,14.42,1207.421,12.095,1239.904,35.781
34,5183.922,1.716,1288.171,23.052,15.968,1180.712,7.429,1240.649,20.305
35,5171.985,1.706,1288.17,26.231,14.741,1178.772,7.419,1240.649,38.35
36,5160.228,1.702,1288.17,26.27,15.015,1178.463,7.417,1240.647,38.377
37,5148.449,1.698,1288.17,26.303,15.325,1178.124,7.414,1240.646,38.401
38,6452.615,1.702,1295.302,22.407,16.762,1143.792,7.336,1236.839,13.201
39,6440.687,1.692,1295.304,25.559,15.02,1142.39,7.329,1236.838,30.01
40,6428.651,1.688,1295.303,25.599,15.297,1142.076,7.329,1236.835,30.035
41,6417.122,1.684,1295.303,25.632,15.596,1141.747,7.327,1236.834,30.058
42,7727.449,1.728,1289.837,20.977,13.475,1105.594,7.127,1242.038,18.84
43,7715.919,1.719,1289.837,24.132,12.427,1103.495,7.119,1242.038,35.707
44,7704.164,1.714,1289.837,24.17,14.147,1101.74,7.117,1242.037,35.745
45,7691.976,1.709,1289.838,24.201,14.502,1101.357,7.114,1242.037,35.777
46,8995.937,1.706,1275.454,21.309,13.605,1088.708,7.395,1236.695,14.337
47,8984.09,1.696,1275.455,24.448,12.271,1086.914,7.386,1236.693,29.721
48,8972.062,1.691,1275.454,24.486,13.939,1085.213,7.382,1236.693,29.75
49,8960.339,1.688,1275.454,24.519,14.089,1085.034,7.379,1236.691,29.777
50,10249.734,1.771,1280.797,19.373,13.7,1057.37,7.514,1241.0,12.488
51,10237.959,1.756,1280.797,22.56,12.337,1055.555,7.508,1240.997,25.177
